ts,vault_id1,count,min,25perc,50perc,75perc,max
2023-04-01 00:00:00,1090,12,473.0,9635.5,22700.0,40243.0,54410.0
2023-04-01 00:00:00,1100,9,7907.0,17273.0,29674.0,42941.75,61763.0
2023-04-01 00:00:00,1116,8,5424.0,8738.5,13736.0,41737.5,85188.0
2023-04-01 00:00:00,1094,6,519.0,1236.0,19606.0,44593.0,44613.0
2023-04-01 00:00:00,1097,7,22734.0,24060.75,29063.0,44509.25,75359.0
2023-04-01 00:00:00,1120,8,95.0,7456.5,17858.0,30683.0,35990.0
2023-04-01 00:00:00,1109,8,95.0,7652.0,18127.0,52795.0,73140.0
2023-04-01 00:00:00,1119,6,3184.0,4592.0,15316.5,23274.0,36794.0
2023-04-01 00:00:00,1092,14,0.0,5349.0,35649.5,48867.0,60002.0
2023-04-01 00:00:00,1098,6,7508.0,18742.0,22034.5,24761.0,30953.0
2023-04-01 00:00:00,1096,8,8696.0,21170.0,37497.5,50637.0,69679.0
2023-04-01 00:00:00,1107,7,2457.0,16457.0,28892.0,36627.75,42887.0
2023-04-01 00:00:00,1106,9,4057.0,16707.0,24147.0,32870.0,73780.0
2023-04-01 00:00:00,1091,11,139.0,13367.25,20050.0,43707.75,53076.0
2023-04-01 00:00:00,1095,6,381.0,16113.0,25915.5,44378.0,45151.0
2023-04-01 00:00:00,1115,9,4233.0,12683.5,22397.0,30289.5,38024.0
2023-04-01 00:00:00,1118,8,4917.0,18837.0,29675.0,34449.0,37510.0
2023-04-01 00:00:00,1104,7,3313.0,7989.25,22063.0,27363.75,45031.0
2023-04-01 00:00:00,1117,5,125.0,17444.0,28311.0,32962.75,37633.0
2023-04-01 00:00:00,1112,5,23856.0,24745.5,29181.0,42048.25,51007.0
2023-04-01 00:00:00,1101,8,1891.0,13134.0,15978.5,31504.0,45734.0
2023-04-01 00:00:00,1110,6,11275.0,14228.0,21833.5,25392.0,40953.0
2023-04-01 00:00:00,1105,7,95.0,2159.5,13839.0,26931.25,43237.0
2023-04-01 00:00:00,1099,9,13358.0,21436.75,34757.0,49811.5,76005.0
2023-04-01 00:00:00,1103,5,188.0,10295.0,25082.0,51752.0,70511.0
2023-04-01 00:00:00,1113,8,504.0,9173.5,15037.5,38445.0,67990.0
2023-04-01 00:00:00,1093,8,219.0,16130.5,31947.5,41736.5,48508.0
2023-04-01 00:00:00,1114,7,1660.0,11989.5,22360.0,36361.5,38784.0
2023-04-01 00:00:00,1108,7,665.0,12588.75,22264.0,38261.25,41570.0
2023-04-01 00:00:00,1111,6,747.0,776.0,19940.0,39386.0,39401.0
2023-04-01 00:00:00,1102,7,15484.0,17837.5,30142.0,45516.5,65917.0
2023-04-02 00:00:00,1090,16,349.0,11657.5,30567.5,49473.0,69629.0
2023-04-02 00:00:00,1116,10,3389.0,8778.0,23066.0,37671.0,85204.0
2023-04-02 00:00:00,1099,9,6068.0,17273.75,23756.0,43412.0,57142.0
2023-04-02 00:00:00,1100,10,7923.0,19342.0,31193.5,45911.0,61795.0
2023-04-02 00:00:00,1109,7,111.0,8016.5,27322.0,66952.5,84533.0
2023-04-02 00:00:00,1113,7,6334.0,14194.25,26081.0,35558.0,38474.0
2023-04-02 00:00:00,1114,7,2045.0,5533.5,16558.0,18992.0,38823.0
2023-04-02 00:00:00,1112,8,174.0,10877.5,26598.5,34601.5,51023.0
2023-04-02 00:00:00,1096,8,5392.0,23275.0,35844.0,49063.5,69696.0
2023-04-02 00:00:00,1098,10,4941.0,18508.0,24540.5,47537.0,70340.0
2023-04-02 00:00:00,1092,16,16.0,8831.5,31615.0,48891.5,60033.0
2023-04-02 00:00:00,1110,9,2946.0,21372.75,26715.0,47768.0,69775.0
